bioguide_id,name,state,district,party,fec_ids
M001198,Roger Marshall,KS,,R,"H6KS01179,S0KS00315"
M000355,Mitch McConnell,KY,,R,S2KY00012
P000603,Rand Paul,KY,,R,S0KY00156
C001075,Bill Cassidy,LA,,R,"H8LA00017,S4LA00107"
K000393,John Kennedy,LA,,R,S4LA00065
M000133,Edward J. Markey,MA,,D,"H6MA07101,S4MA00028"
W000817,Elizabeth Warren,MA,,D,S2MA00170
V000128,Chris Van Hollen,MD,,D,"H2MD08126,S6MD03441"
A000382,Angela D. Alsobrooks,MD,,D,S4MD00327
C001035,Susan M. Collins,ME,,R,S6ME00159
K000383,"Angus S. King, Jr.",ME,,I,S2ME00109
P000595,Gary C. Peters,MI,,D,"H8MI09068,S4MI00355"
S001208,Elissa Slotkin,MI,,D,H8MI08102
K000367,Amy Klobuchar,MN,,D,S6MN00267
S001203,Tina Smith,MN,,D,S8MN00578
H001089,Josh Hawley,MO,,R,S8MO00160
S001227,Eric Schmitt,MO,,R,S2MO00544
W000437,Roger F. Wicker,MS,,R,"H4MS01078,S8MS00196"
H001079,Cindy Hyde-Smith,MS,,R,S8MS00261
D000618,Steve Daines,MT,,R,"H2MT01060,S2MT00096"
S001232,Tim Sheehy,MT,,R,S4MT00183
T000476,Thom Tillis,NC,,R,S4NC00162
B001305,Ted Budd,NC,,R,H6NC13129
H001061,John Hoeven,ND,,R,S0ND00093
C001096,Kevin Cramer,ND,,R,"H0ND01026,H6ND00074,S8ND00120"
F000463,Deb Fischer,NE,,R,S2NE00094
R000618,Pete Ricketts,NE,,R,S6NE00129
S001181,Jeanne Shaheen,NH,,D,S0NH00219
H001076,Margaret Wood Hassan,NH,,D,S6NH00091
B001288,Cory A. Booker,NJ,,D,S4NJ00185
K000394,Andy Kim,NJ,,D,H8NJ03206
H001046,Martin Heinrich,NM,,D,"H8NM01224,S2NM00088"
L000570,Ben Ray Luján,NM,,D,"H8NM03196,S0NM00058"
C001113,Catherine Cortez Masto,NV,,D,S6NV00200
R000608,Jacky Rosen,NV,,D,"H6NV03139,S8NV00156"
G000555,Kirsten E. Gillibrand,NY,,D,"H6NY20167,S0NY00410"
S000148,Charles E. Schumer,NY,,D,"S8NY00082,H0NY16010"
M001242,Bernie Moreno,OH,,R,S4OH00192
H001104,Jon Husted,OH,,R,
L000575,James Lankford,OK,,R,"H0OK05114,S4OK00232"
M001190,Markwayne Mullin,OK,,R,H2OK02083
M001176,Jeff Merkley,OR,,D,S8OR00207
W000779,Ron Wyden,OR,,D,"S6OR00110,H0OR03026"
F000479,John Fetterman,PA,,D,S6PA00274
M001243,David McCormick,PA,,R,S2PA00661
W000802,Sheldon Whitehouse,RI,,D,S6RI00221
R000122,Jack Reed,RI,,D,"S6RI00163,H0RI02071"
G000359,Lindsey Graham,SC,,R,"S0SC00149,H4SC03087"
S001184,Tim Scott,SC,,R,"H0SC01279,S4SC00240"
T000250,John Thune,SD,,R,"S2SD00068,H6SD00085"
R000605,Mike Rounds,SD,,R,S4SD00049
B001243,Marsha Blackburn,TN,,R,"H2TN06030,S8TN00337"
H000601,Bill Hagerty,TN,,R,S0TN00169
C001056,John Cornyn,TX,,R,S2TX00106
C001098,Ted Cruz,TX,,R,S2TX00312
L000577,Mike Lee,UT,,R,S0UT00165
